"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,220000,220000,219000,220000,229900,240000,242500,249000,250000,250000,249000,240000,238990,220000,235000,237000,240000,245000,249900,254900,254000,265000,269900,268000,264900,265000,260000,265000,272000,279900,286124,295000,299000,299000,299000,299000,298600,289900,290000,299000,305000,315000,315000,319000,319990,319500,320000,323500,324950,319000,319621,324990,334000,340000,340000,349000,349900,349900,350000,350000,349000,339999,339900,347000,350000
"Texas",2,79900,79900,81000,82900,82000,81565,80000,80000,80000,80000,79900,79900,78500,75000,76900,76560,77500,77900,77000,76000,75000,75000,73000,73500,72500,73000,73900,73900,74900,74871,74500,73900,72000,72500,72000,72500,72000,72500,74000,74000,74200,74900,75000,75900,75000,75000,75000,75000,74900,75000,75000,75000,75900,75000,75000,78500,76000,75000,75000,75000,78500,79000,78000,79000,79977,82500,84500,85000,85000,85800,85000,85000,85000,85000,88000,89900,90000,94690,99500,99900,99900,99900,1e+05,1e+05,1e+05,1e+05,107200,110000,115000,118000,119000,119900,119000,119039,119900,119900,119000,119700,120000,125000,128000,129500,130000,134900,134900,134900,135000,135000,137500,139900,143000
"New York",3,184000,180000,189000,189000,190000,189999,189900,189000,189900,182000,175900,175000,174999,159500,169000,169000,169000,165000,165000,165000,164999,160000,159000,159000,155900,159000,159000,159000,158000,154922,150000,149999,150000,149999,150000,155000,155000,159000,159000,155000,150000,149000,148500,145000,145000,145500,146925,149000,149000,155000,149900,150000,150000,150000,149900,149900,149900,149000,149000,145000,145500,145000,148900,149000,149000,145000,144900,140000,139900,139000,139900,139500,139000,139000,139000,139900,140000,141950,130000,129900,127000,125000,125000,124900,124900,125000,129000,129900,129900,129900,132500,130775,132900,134900,130000,134999,138000,149000,149900,152500,150000,155000,150000,149900,149900,149900,150000,150000,159900,160000,164900
"Florida",4,69850,69000,69000,69000,67000,65000,65000,65000,65000,64900,64900,62000,60000,58900,59900,59900,59900,59900,59400,59000,59000,58000,57900,57000,57000,57500,57915,57900,58500,58500,59000,59000,59000,59900,59900,59940,60000,61462,62300,63600,64900,64900,65000,65000,65000,65000,65900,66500,69000,69500,69900,69900,69900,69000,70000,71900,71900,72000,72500,74000,75000,74900,72000,74200,77500,77900,77000,77900,79000,79900,79999,80000,82000,84900,87500,89000,89900,90000,92900,95000,97900,99000,99900,1e+05,105900,109900,110000,112000,114500,114900,115000,116900,117000,119900,120000,121000,123500,125000,127000,128900,129900,129900,130000,130000,134900,134900,135000,135000,137000,138894,139000
"Illinois",5,89999,92500,94900,94900,92500,89900,89900,89900,89900,85500,85900,84900,80900,75000,79999,79900,79900,79900,77900,75900,75000,74000,72900,71900,69900,69900,69900,69900,69000,69000,69000,68000,68900,68000,67900,67000,67500,67900,68000,68400,68900,68000,67500,68000,69000,69000,68000,67980,67500,68000,69900,69900,70000,72000,72900,72900,72500,72600,72000,72000,73450,74200,74900,75900,79900,79900,79900,79000,79900,79000,77900,79000,78900,79000,79900,79900,80000,81000,84900,84500,83000,82000,81134,80000,80000,80700,84495,85000,89000,89900,89900,89900,89900,89900,89000,89000,89000,89900,93000,98900,99500,99900,99900,99900,99900,99900,99500,98900,98900,99900,102000
"Pennsylvania",6,79000,79000,79900,79900,79900,79900,79900,79900,79900,79900,79900,78900,77036,74900,75900,76000,77500,79000,79500,77900,75000,75000,74900,74900,74900,73900,74900,74000,74500,74000,74900,72500,70000,70900,70000,70000,70000,70000,72200,72900,73500,73500,72000,70000,70000,69900,69900,69900,69900,69900,69900,70000,72900,74350,73500,71900,71900,74900,72500,70000,70000,69900,70000,70000,73000,72900,72500,72500,72000,70000,70000,69900,69900,69900,69900,69900,70000,71900,70000,70000,70000,69900,69900,69900,69900,69900,72000,74500,74900,75000,75000,75000,75000,75000,75000,75000,75000,75000,77500,79900,79900,79900,80000,80373,82500,84550,84500,83900,84000,82900,84900
"Ohio",7,59000,59900,59900,59900,59900,59900,59800,59000,59500,59000,59000,55900,54900,50000,52900,52900,52500,52900,51900,50000,49999,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49500,49900,49900,49900,49900,49905,50000,50000,49900,50000,50000,50000,50000,50000,52000,52900,54500,54900,54900,54900,54000,53000,52600,53900,54000,54900,54900,54900,54900,54900,54900,54900,54900,54900,54000,54000,54500,54900,55000,56500,56999,58000,58500,58750,59500,59700,58500,58000,59000,59900,59900,59900,60000,60000,60000,60241.5,61000,61000,60000,60000,62000,64500,64900,65000,66000,68000,69500,69900,69900,69900,69900,69500,69000,69500
"Michigan",8,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,33900,30000,29900,28000,29000,29000,29900,29900,29900,29900,29700,29640,29140,29000,29000,28000,29000,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,29995,30900,32900,34000,34900,35000,35000,35500,35500,37000,37000,37378.5,37500,39900,39900,40000,42467,42500,41000,42000,41000,42000,42000,42000,43000,44500,44000,44900,44925,45000,45000,45000,45000,44900,44900,44900,44900,45000,46000,48900,49900,49900,49900,49900,49900,49900,49900,49900,49900,50000,53775,55000,55000,57900,58500,56000,55000,54900,54900,52446,54900,55000,58000,59500,59900,62500,62000,64900,62900,60000,60000,60000,59900
"Georgia",9,69900,69900,69900,69900,69900,67500,65900,65950,67000,65000,64900,63000,60000,57000,59900,58000,56900,55900,54900,53000,52655,50000,49900,49900,49900,49000,48000,47000,46900,49900,47900,48000,45000,47900,46900,49900,50000,50500,51900,52900,55000,55000,56000,57900,59000,59900,59900,59900,60000,60000,60000,63000,64900,64497.5,64000,64500,62125,64900,64500,64900,65000,66650,67000,68000,69655,69900,68000,69900,69900,69900,69900,71000,70000,72000,73650,74900,74900,77000,79000,79000,82500,80000,84000,84900,85000,86000,88888,89900,94900,94900,95000,96000,95900,99000,99000,99000,1e+05,1e+05,103000,101380.5,105000,110000,111355,111807,114900,115000,115564,119900,119900,120000,125000
"North Carolina",10,84900,84900,85000,85000,84900,83900,83900,82500,82000,82900,82000,79900,79900,74900,78500,78000,77500,76500,75000,74900,74900,73000,73500,70000,69900,69900,69900,69900,69900,69900,69900,69900,67000,68900,69000,69500,69900,70000,70000,72500,74000,74900,74900,74900,74900,74900,74700,72300,72000,72000,72900,74000,74900,75000,75000,75000,73900,72000,70000,71500,72900,73800,74300,74900,78900,79000,79000,79000,79500,79885.5,79500,79000,79000,79900,79900,80100,80000,82447.5,82500,82900,80000,82000,80000,80000,82000,83000,85000,85900,88750,89900,90000,89900,89900,89900,89500,89250,89000,89900,92000,94500,95000,98000,99000,99000,99500,99900,99900,99900,99900,1e+05,105000
