RegionName,SizeRank,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar
Alabama,23,309900,304360,3.00E+05,3.00E+05,3.00E+05,299900,299000,290725,299000,299000,299000,294900,294940,289900,289900,289900,289000,289000,289000,289000,289000,289000,289900,290000,285900,284900,289000,285000,286000,286000,284900,279900,282900,282823,280000,284900,280000,279900,280000,282000,285000,285000,284900,286865,287999,284900,285000,289000,289375,289900,292700,298200,299000,298900,295000,295000,295000,299000,295900,299000,299900,299900,299900,299900,299900,299900,299684,299900,299900,305900,309900,308896,309900,319900,317500,315900,319900,319900,319900,319900,319900,319900,319900,319900,320000,320000,324900,325000,328050,328170,325000,325000,325000,325960,319000,320000,319900,323515,329000,338250,338900,339000,339900,339000,337000,339900,344900,348052,344900,349900,349799.5
Alaska,47,476500,475000,467250,465000,461550,459000,460000,459000,459900,463000,460000,459900,459700,469900,465000,465000,459000,459000,456500,450000,455000,450000,450000,450000,450000,450000,449999.5,449000,449000,447000,449900,449900,450000,454999,457500,450000,459900,462000,456000,459000,464000,455000,458727.5,459000,460000,458725,459900,465000,460000,464900,469000,467500,465000,455000,449900,456652,464900,467000,467500,474000,485000,496875,489900,485000,479950,479900,485000,489900,496000,499450,499000,499000,499900,494000,489000,489900,489000,489900,489950,489900,495000,496250,499000,5.00E+05,509450,5.00E+05,499900,499000,493950,485000,484900,483450,486000,495000,499000,497000,499000,499000,495000,489000,485000,489000,489850,489500,489000,489000,499000,499000,499000,489000,485000
Arizona,16,379364,375000,375000,374900,369900,359900,359000,350000,349900,344900,344900,341565,339000,339900,339000,339000,335000,329000,325900,324900,325000,325000,325000,325000,329000,335000,339900,339000,340000,347995,345777,349000,349900,350000,356945,359000,355000,359900,364900,369000,374375,372900,375000,370000,375000,379000,379900,384125,385000,389000,388990,389000,388800,385000,385000,384900,385000,389000,390000,392000,395000,399000,399000,399000,399000,399900,399500,399000,399900,409000,417000,419000,419000,425000,425000,425000,429000,425000,429000,425000,429000,430501,435000,439000,439900,443000,439999,447000,449000,449000,445000,442990,449000,449500,449900,453500,459900,459900,466056,469500,469000,469000,464900,468900,469900,474935,476064,479000,485000,489500,485000
Arkansas,32,259900,259900,259900,259900,259900,259900,258000,254900,250000,249900,249900,249900,249900,249820,249500,249000,249000,249500,249900,249000,249000,249000,249000,249900,249000,249500,249000,249900,249900,249900,249900,249900,249995,250000,249900,249900,249000,249000,249000,248500,249000,249000,248000,247600,249000,249850,249900,249900,249900,249900,249900,250000,250000,254900,254900,259900,259900,259000,259900,259900,259900,259900,259500,258000,260000,261000,269000,269900,269900,269900,274900,274900,274900,269500,269500,269900,273912.5,275000,275000,275000,279500,279600,279000,279000,277900,279900,279900,284900,285000,285900,289000,289500,289500,289500,289900,291500,295000,295000,299000,3.00E+05,299900,299900,3.00E+05,299900,301559.5,3.00E+05,305000,305000,307500,305000,306900
California,1,750000,757588.5,750876,758894,759000,764900,757000,750000,742900,729000,724000,699000,699000,699900,699000,699000,699000,699000,695000,684900,675000,669900,659000,650000,650000,665000,665500,685000,695000,699000,699000,699000,699900,718000,719000,699000,699000,733995,749000,769000,796900,789900,795000,775000,777838.5,775000,765000,755990,749900,759000,775000,785000,795000,789829.5,785000,775000,777000,775000,775000,751000,759900,774900,788000,795000,799000,799000,795000,799000,799000,799888,805000,8.00E+05,799999,836265,849000,849825,850000,859000,850000,850000,859000,869000,875000,860000,875000,889900,899000,9.00E+05,899900,910000,909880,899900,925000,928000,929000,919000,9.00E+05,939000,950000,967500,959000,960000,959000,950000,975000,980000,989000,975000,969000,989000,998000
Colorado,22,465000,459500,455000,449900,449900,449500,450000,449900,443000,435000,436000,435000,429900,429775,425000,425000,430000,435000,439000,435000,444900,439500,440000,445000,449000,450000,450000,459000,468985,465000,469000,468250,475000,478000,475000,479706,475000,469900,465500,460000,465900,469900,474900,475000,480000,479900,480000,485000,485700,479105,475000,479000,479900,484900,485000,493790,490000,496900,499000,499992.5,501795,505950,501947.5,519000,519000,525000,529661,529000,529000,539000,545000,548993,549000,565232.5,561824.5,559995,569000,575000,575000,579000,579000,585000,589900,595350,599000,599900,6.00E+05,6.00E+05,6.00E+05,614900,615000,619600,620000,617100,618550,620000,615000,625000,625000,625000,625000,629925,634900,639000,644900,646818,650000,659000,650655,655000,649900
Connecticut,29,575000,579900,575000,569000,569000,574500,569900,559900,549900,549900,550000,549900,559900,559900,560000,559000,549900,539900,539250,529900,534900,529900,539000,529900,519900,529000,516250,519900,519700,505000,499888,499900,499900,5.00E+05,505497.5,509900,525000,544900,529900,529000,525000,525000,515000,499900,499900,5.00E+05,5.00E+05,499900,509950,519900,525000,519000,499900,499000,498000,489900,495000,495000,484900,479900,493950,511600,525000,524900,499900,499900,496700,489900,499000,499900,499900,499900,519900,539900,550000,549900,549900,565800,567602.5,559000,565000,569950,574900,579900,579900,589000,589000,585000,575000,569900,569000,564900,585000,589000,589000,589900,599000,6.00E+05,599900,625000,599000,599000,595000,589000,599000,599000,599900,599900,599999,619900,609402.5
Delaware,45,349900,349825,349900,349900,350000,357900,359000,399000,389900,389000,384900,379900,375000,375000,374900,375000,375000,375000,375000,378970,379900,379000,379900,369900,359990,364925,365000,374900,369000,369900,364990,356900,365000,369900,369990,374990,375900,369990,374945,379000,375000,369250,362700,365000,365900,366370,365000,355000,361170,360000,363995,369900,369990,370000,369900,370000,370000,369900,369900,372500,369900,369000,374437,375000,375500,379000,375000,375000,384990,384900,384900,380768,380000,384900,385000,385000,389000,385000,389000,389900,389000,389900,389990,389900,389900,389900,389900,389990,392990,389900,390000,394900,399000,395000,395000,399000,396900,399900,399900,399900,399700,399900,399900,399900,399900,399900,399990,4.00E+05,4.00E+05,399999,399999
District of Columbia,50,739900,731000,699000,699805.5,699900,699500,699000,699000,693500,719000,719000,699900,699999,699000,699000,719900,719000,699990,699000,685000,689500,699000,689000,685000,715000,750000,749000,739000,730700,725000,698000,689000,699000,725000,724900,739000,725000,725000,7.00E+05,725000,739000,725000,719000,730000,739000,729000,725000,724990,718778.5,724900,729000,735000,749555,749900,749000,719900,739250,735727.5,729000,710000,724950,718500,750000,765000,770000,769999.5,750000,768000,775000,775000,770000,779000,750000,750000,750000,769900,789000,789000,779000,780000,799000,795990,789000,799900,810000,799900,799900,799999,824500,8.00E+05,825000,815000,829000,834900,825000,824900,799900,799700,799900,825000,825000,819999,825000,819975,812450,799999,8.00E+05,825000,825000,825000,832500
Florida,4,396000,390000,389000,385000,384150,379000,379000,375000,369900,368000,364900,359000,354900,359900,350000,350000,350000,349900,349900,349900,350000,357992.5,350000,356900,359000,360000,359900,359000,359000,354000,350000,350256,359900,354900,357700,360000,368000,368080,370000,375000,369000,369000,374422.5,369000,369900,369990,376900,380000,380000,385000,384900,385000,380000,379900,382500,383498.5,384990,385990,389900,397000,395990,399000,390000,395000,399000,399000,399000,399900,399900,405000,415000,423990,425000,435000,435000,439000,435000,439000,435000,432200,439900,449000,450000,454472.5,468078,475000,470000,474700,469999,469900,469000,469138.5,469900,470000,475000,479900,479990,485000,489000,495000,492000,490000,489900,489000,495000,495000,499000,499999,5.00E+05,510000,500900
